IncomeType,Date,DeathRatePercentage,PopulationInfectedPercentage,PopulationVaccinatedPercentage
Low income,2020-03-18,1.25,1.08459149335911e-05,
Low income,2020-03-19,0.99009900990099,1.36929676036588e-05,
Low income,2020-03-20,0.78740157480315,1.72178899570759e-05,
Low income,2020-03-21,2.45398773006135,2.20985516771919e-05,
Low income,2020-03-22,3.57142857142857,2.65724915872983e-05,
Low income,2020-03-23,2.84552845528455,3.33511884207928e-05,
Low income,2020-03-24,2.46913580246914,4.39259554810441e-05,
Low income,2020-03-25,3.44827586206897,5.11113741245483e-05,
Low income,2020-03-26,2.92792792792793,6.01948278814308e-05,
Low income,2020-03-27,3.1055900621118,6.54822114115565e-05,
Low income,2020-03-28,3.3167495854063,8.17510838119432e-05,
Low income,2020-03-29,2.95420974889217,9.1783555125515e-05,
Low income,2020-03-30,2.93367346938775,0.000106289966349193,
Low income,2020-03-31,3.00578034682081,0.000117271455219454,
Low income,2020-04-01,8.32507433102081,0.000136794102099918,
Low income,2020-04-02,7.62489044697634,0.000154689861740344,
Low income,2020-04-03,7.22222222222222,0.000170823160204061,
Low income,2020-04-04,6.41114982578397,0.000194548599121291,
Low income,2020-04-05,5.95009596928983,0.000211902063015037,
Low income,2020-04-06,5.70125427594071,0.000237796684918986,
Low income,2020-04-07,5.29627687467226,0.000258539497229479,
Low income,2020-04-08,5.17489218974605,0.000282942805830059,
Low income,2020-04-09,4.8951048951049,0.000310193167100707,
Low income,2020-04-10,4.68557336621455,0.000329851387917841,
Low income,2020-04-11,4.32674375233122,0.000363473724211973,
Low income,2020-04-12,4.93741307371349,0.000389910641862601,
Low income,2020-04-13,5.1543007222587,0.000412958211096483,
Low income,2020-04-14,5.03418272218769,0.000436276928203704,
Low income,2020-04-15,11.1046342174293,0.00046515417671439,
Low income,2020-04-16,10.818953711312,0.000494980442781766,
Low income,2020-04-17,10.4220948410631,0.000520332768939035,
Low income,2020-04-18,10.0613496932515,0.000552463791929799,
Low income,2020-04-19,9.71348707197764,0.000582018910123835,
Low income,2020-04-20,9.35347700510997,0.000610218288951172,
Low income,2020-04-21,8.88157894736842,0.000659431627962341,
Low income,2020-04-22,8.67256637168142,0.000689393467966387,
Low income,2020-04-23,8.44804827456157,0.000718948586160423,
Low income,2020-04-24,8.22088068181818,0.000763552411324817,
Low income,2020-04-25,8.01894772458129,0.000801377539655715,
Low income,2020-04-26,7.57647058823529,0.000864283846270544,
Low income,2020-04-27,7.56013745704467,0.000907396358131569,
Low income,2020-04-28,7.47650242096269,0.000952000183295962,
Low income,2020-04-29,7.26638959646065,0.0010112459936207,
Low income,2020-04-30,6.8460870643681,0.00109313265136932,
Low income,2020-05-01,6.52575652575653,0.0011737991436879,
Low income,2020-05-02,6.34454238763739,0.00124578890405961,
Low income,2020-05-03,6.23493660274547,0.00129378207764075,
Low income,2020-05-04,6.01883986117997,0.00136726315131583,
Low income,2020-05-05,6.03332694886037,0.00141566304670698,
Low income,2020-05-06,5.93941612519447,0.00148141640599188,
Low income,2020-05-07,5.57863018161088,0.00166471236836957,
Low income,2020-05-08,5.55083107846927,0.00175364887082502,
Low income,2020-05-09,5.40481400437637,0.00185871867174418,
Low income,2020-05-10,5.36969356199044,0.00192894597093918,
Low income,2020-05-11,5.09409474367294,0.00208919436408299,
Low income,2020-05-12,4.90850113226024,0.00221514255124932,
Low income,2020-05-13,4.75832562442183,0.0023448868086424,
Low income,2020-05-14,4.69413646643499,0.00245781989788842,
Low income,2020-05-15,4.51616229313811,0.00262972764958584,
Low income,2020-05-16,4.45490584737364,0.00273588204199837,
Low income,2020-05-17,4.34499744411915,0.00291741554319935,
Low income,2020-05-18,4.28797607529246,0.00308268017199994,
Low income,2020-05-19,4.18383383595973,0.0031918171910192,
Low income,2020-05-20,4.12526470109138,0.0033291535888658,
Low income,2020-05-21,3.96043385273449,0.00354986795776438,
Low income,2020-05-22,3.89529562511441,0.00370320208013803,
Low income,2020-05-23,3.79375754440421,0.00393096629374344,
Low income,2020-05-24,3.70140274008436,0.00414625770517522,
Low income,2020-05-25,3.61892978657594,0.00438310537253752,
Low income,2020-05-26,3.5547212538363,0.00454999688857815,
Low income,2020-05-27,3.50505426534177,0.0047343774424492,
Low income,2020-05-28,3.43305272971565,0.00494424589641419,
Low income,2020-05-29,3.34924464960134,0.00516916305734954,
Low income,2020-05-30,3.37735658836576,0.00537903151131453,
Low income,2020-05-31,3.36039312986293,0.00562808083297711,
Low income,2020-06-01,3.32159733160382,0.00585299799391246,
Low income,2020-06-02,3.29313854896083,0.00606001939520738,
Low income,2020-06-03,3.2258064516129,0.00629157967903955,
Low income,2020-06-04,3.20905597673694,0.00652720718097182,
Low income,2020-06-05,3.18322048158981,0.00676757977068753,
Low income,2020-06-06,3.16478930386228,0.00701690024022346,
Low income,2020-06-07,3.15176558978212,0.00721795638830491,
Low income,2020-06-08,3.15758715780631,0.00742362205023313,
Low income,2020-06-09,3.12078392387986,0.0076371510004882,
Low income,2020-06-10,3.14866273011462,0.00780634727345222,
Low income,2020-06-11,3.13871928142504,0.00806000610896159,
Low income,2020-06-12,3.13312511242294,0.00829075294917374,
Low income,2020-06-13,3.15960808093703,0.00849587631535528,
Low income,2020-06-14,3.17472650422675,0.00872445397258072,
Low income,2020-06-15,3.18035121744269,0.00894774424627602,
Low income,2020-06-16,3.19092516205068,0.00920275882115208,
Low income,2020-06-17,3.18342304798287,0.00936924361538271,
Low income,2020-06-18,3.18453466513285,0.00966398135370305,
Low income,2020-06-19,3.21016229919264,0.0098402274713739,
Low income,2020-06-20,3.20087113166456,0.0100848028531264,
Low income,2020-06-21,3.16169114937082,0.0102998231166848,
Low income,2020-06-22,3.20901994796184,0.0104732221816856,
Low income,2020-06-23,3.20126621055856,0.0106214044944658,
Low income,2020-06-24,3.21398541721572,0.0108029379956668,
Low income,2020-06-25,3.22046260925466,0.0109664401632907,
Low income,2020-06-26,3.25076835238523,0.0111603108927286,
Low income,2020-06-27,3.2621070670997,0.0113126959975456,
Low income,2020-06-28,3.2672414809922,0.0114940939248099,
Low income,2020-06-29,3.29482788645731,0.0116776610350609,
Low income,2020-06-30,3.27851933397551,0.011822589573361,
Low income,2020-07-01,3.27829814256231,0.0119557231791709,
Low income,2020-07-02,3.31324626447725,0.0121037699180144,
Low income,2020-07-03,3.33263304547817,0.0122611712584881,
Low income,2020-07-04,3.34284371276468,0.0124021681526248,
Low income,2020-07-05,3.31906011963679,0.0126013262655929,
Low income,2020-07-06,3.34459207484044,0.0127240206782791,
Low income,2020-07-07,3.35505468939163,0.0128783038182094,
Low income,2020-07-08,3.36319607557837,0.0130446530385034,
Low income,2020-07-09,3.36602146121066,0.0132028678225972,
Low income,2020-07-10,3.3659110264001,0.0133724708173712,
Low income,2020-07-11,3.35227839266128,0.0135967101086232,
Low income,2020-07-12,3.33294029792084,0.013797630682768,
Low income,2020-07-13,3.41673470974766,0.0139473043088515,
Low income,2020-07-14,3.43210423427674,0.0140784043056113,
Low income,2020-07-15,3.44427428636653,0.0142530235360421,
Low income,2020-07-16,3.4907058315983,0.0144557065713636,
Low income,2020-07-17,3.48226989670529,0.0146737094615288,
Low income,2020-07-18,3.48790616348536,0.0148871028378472,
Low income,2020-07-19,3.46897572793755,0.0151090373721758,
Low income,2020-07-20,3.46681710402214,0.0153804563933889,
Low income,2020-07-21,3.46121549280991,0.0154993547358484,
Low income,2020-07-22,3.4528541007492,0.0157253564882771,
Low income,2020-07-23,3.42153825317013,0.0160158914345607,
Low income,2020-07-24,3.42699448068239,0.0162119313469854,
Low income,2020-07-25,3.41333509221776,0.0164436272047542,
Low income,2020-07-26,3.40931276844982,0.0166658328869561,
Low income,2020-07-27,3.40200325067856,0.0169327779682592,
Low income,2020-07-28,3.39818109924872,0.0171433242919075,
Low income,2020-07-29,3.36391912908243,0.0174348082557478,
Low income,2020-07-30,3.34464335063101,0.0176609455821131,
Low income,2020-07-31,3.31117824773414,0.0179499892150933,
Low income,2020-08-01,3.29622873310748,0.0182082575644495,
Low income,2020-08-02,3.29414186869021,0.0184379198131683,
Low income,2020-08-03,3.29571302951244,0.0186553804075868,
Low income,2020-08-04,3.29796035828627,0.0188440993274313,
Low income,2020-08-05,3.28035555555556,0.0190650848442032,
Low income,2020-08-06,3.27295212130581,0.0192946115189853,
Low income,2020-08-07,3.27887081193403,0.019507869321367,
Low income,2020-08-08,3.25771356007825,0.0197510889637528,
Low income,2020-08-09,3.24731590419843,0.0200272530727494,
Low income,2020-08-10,3.26931456343221,0.0202242420027307,
Low income,2020-08-11,3.26120895254672,0.0204075379651084,
Low income,2020-08-12,3.27708212763719,0.0206148305142767,
Low income,2020-08-13,3.27602668104204,0.0208739123072528,
Low income,2020-08-14,3.2619004896055,0.0211554993737162,
Low income,2020-08-15,3.23564128945923,0.0214780297690539,
Low income,2020-08-16,3.20605097912685,0.021849637929466,
Low income,2020-08-17,3.19028468944917,0.0221488496076965,
Low income,2020-08-18,3.15770469112027,0.0225276431867521,
Low income,2020-08-19,3.14302328341205,0.0228485466948498,
Low income,2020-08-20,3.12878872183534,0.0231474872252069,
Low income,2020-08-21,3.10735114451027,0.0235253317867059,
Low income,2020-08-22,3.06700229091835,0.0239674383941864,
Low income,2020-08-23,3.04842302731856,0.0242825122230072,
Low income,2020-08-24,3.01212107879801,0.0246516800525593,
Low income,2020-08-25,2.98965432970375,0.0249639068287101,
Low income,2020-08-26,2.97435018137588,0.0253020282267648,
Low income,2020-08-27,2.95536536081165,0.0256297104316959,
Low income,2020-08-28,2.93859190291871,0.0259190252125494,
Low income,2020-08-29,2.91687751076596,0.0262560620191108,
Low income,2020-08-30,2.89617570030478,0.0265560871409612,
Low income,2020-08-31,2.87925884062651,0.026867500473492,
Low income,2020-09-01,2.87138574267138,0.0270875369727072,
Low income,2020-09-02,2.8607661404178,0.0273681750216139,
Low income,2020-09-03,2.85360715390622,0.0276078697416462,
Low income,2020-09-04,2.84391373217985,0.0278163824562445,
Low income,2020-09-05,2.83227970087117,0.0281364725207221,
Low income,2020-09-06,2.82209879257765,0.0283628809949609,
Low income,2020-09-07,2.81521399414701,0.0286296905023272,
Low income,2020-09-08,2.80674558436678,0.028860979638286,
Low income,2020-09-09,2.79941702093975,0.0291157230652887,
Low income,2020-09-10,2.79020588330355,0.0293624676300279,
Low income,2020-09-11,2.78190319031903,0.029576810023903,
Low income,2020-09-12,2.77348297438882,0.0298132509694553,
Low income,2020-09-13,2.76859933734422,0.0299931575834163,
Low income,2020-09-14,2.76647498122862,0.0301534059765601,
Low income,2020-09-15,2.76811503483059,0.0303216532319674,
Low income,2020-09-16,2.76017356006875,0.030526776598149,
Low income,2020-09-17,2.75436158715455,0.0307339335733805,
Low income,2020-09-18,2.74747917580009,0.0309244149544017,
Low income,2020-09-19,2.73856320112833,0.0311439091578703,
Low income,2020-09-20,2.73274143396487,0.0313491680979885,
Low income,2020-09-21,2.72392258596548,0.0315651373791036,
Low income,2020-09-22,2.71786906092909,0.0317701251713485,
Low income,2020-09-23,2.71090465210905,0.031986772322147,
Low income,2020-09-24,2.70614212513484,0.0321733220590048,
Low income,2020-09-25,2.70102556791977,0.0323346550436419,
Low income,2020-09-26,2.6962830617152,0.0324770076771453,
Low income,2020-09-27,2.68977884040646,0.0326613882310164,
Low income,2020-09-28,2.68097399917458,0.0328495648551142,
Low income,2020-09-29,2.67232890201871,0.0330420798451854,
Low income,2020-09-30,2.66649254614534,0.0332211730155263,
Low income,2020-10-01,2.70349226443344,0.0334134168577242,
Low income,2020-10-02,2.69555151314702,0.0336124393967556,
Low income,2020-10-03,2.68554609178256,0.0338083437352436,
Low income,2020-10-04,2.67585865915996,0.0340016721689349,
Low income,2020-10-05,2.66422736218524,0.0342366218011838,
Low income,2020-10-06,2.66098212208098,0.0343751783644604,
Low income,2020-10-07,2.65416601286678,0.0345605079358882,
Low income,2020-10-08,2.6512123114843,0.034762648675463,
Low income,2020-10-09,2.64218974140271,0.0349685854852645,
Low income,2020-10-10,2.63631632712064,0.0351699127812193,
Low income,2020-10-11,2.63057012297973,0.0353652748239606,
Low income,2020-10-12,2.62422460892076,0.0355592811273352,
Low income,2020-10-13,2.62266605477447,0.035745830864193,
Low income,2020-10-14,2.61680690667905,0.0359139425456637,
Low income,2020-10-15,2.61593073267847,0.0360918155505746,
Low income,2020-10-16,2.61097679007179,0.036279721026799,
Low income,2020-10-17,2.60834312748263,0.0364514932045598,
Low income,2020-10-18,2.60282490894554,0.0366277393222306,
Low income,2020-10-19,2.59685238944313,0.0368007316654214,
Low income,2020-10-20,2.59214182546025,0.0369826718884324,
Low income,2020-10-21,2.58656867288737,0.0371514614395864,
Low income,2020-10-22,2.58489167865394,0.0373224201737272,
Low income,2020-10-23,2.58273763681133,0.0374952769429813,
Low income,2020-10-24,2.57904811248795,0.0376803353665357,
Low income,2020-10-25,2.57989615917959,0.0378361098197694,
Low income,2020-10-26,2.57822152707847,0.0379658540771624,
Low income,2020-10-27,2.57773791218179,0.0380886840637854,
Low income,2020-10-28,2.57513315071988,0.0382588293543061,
Low income,2020-10-29,2.56910867082987,0.0384699179737011,
Low income,2020-10-30,2.56146822446947,0.0386640598510124,
Low income,2020-10-31,2.55579792339237,0.03884532220434,
Low income,2020-11-01,2.55242043466617,0.0389817095846299,
Low income,2020-11-02,2.54765599024715,0.0391450761783171,
Low income,2020-11-03,2.55018410327728,0.0392870220900105,
Low income,2020-11-04,2.54406288077709,0.0394987885790889,
Low income,2020-11-05,2.63676982876209,0.039657681232866,
Low income,2020-11-06,2.63161476017773,0.0398487049096339,
Low income,2020-11-07,2.62687761238555,0.039992820004314,
Low income,2020-11-08,2.62237998191462,0.0401803187587284,
Low income,2020-11-09,2.61714143650492,0.0403539889716026,
Low income,2020-11-10,2.61756089394827,0.0404925455348792,
Low income,2020-11-11,2.6136424265059,0.0406569967200598,
Low income,2020-11-12,2.61304196210624,0.040821990200987,
Low income,2020-11-13,2.61065618481211,0.0410098956772115,
Low income,2020-11-14,2.60447834807484,0.0412321013594134,
Low income,2020-11-15,2.60126955042209,0.0414341065250516,
Low income,2020-11-16,2.61757945525697,0.0416420769439032,
Low income,2020-11-17,2.61786214407966,0.0418240171669142,
Low income,2020-11-18,2.61742779815419,0.042027784793729,
Low income,2020-11-19,2.6141925220816,0.0422716823057981,
Low income,2020-11-20,2.60828277163106,0.0425441859185046,
Low income,2020-11-21,2.60725988933327,0.0427792711246902,
Low income,2020-11-22,2.60914557581035,0.0429717861147614,
Low income,2020-11-23,2.61020845240264,0.0431724355410329,
Low income,2020-11-24,2.60875271061561,0.043388811543958,
Low income,2020-11-25,2.6065511650588,0.0436491135023642,
Low income,2020-11-26,2.60324130579202,0.0438764709941596,
Low income,2020-11-27,2.60026091627657,0.0441665992186332,
Low income,2020-11-28,2.59496934799259,0.0444290703600261,
Low income,2020-11-29,2.59483038825248,0.0446299909341709,
Low income,2020-11-30,2.59150623937072,0.0448808027170101,
Low income,2020-12-01,2.58934656830512,0.0451538486254633,
Low income,2020-12-02,2.5874418049421,0.0454281146993465,
Low income,2020-12-03,2.59092257490359,0.0457019740514197,
Low income,2020-12-04,2.58982583163331,0.0459883062056665,
Low income,2020-12-05,2.58705068017044,0.0462629790013597,
Low income,2020-12-06,2.58318484096759,0.0465631396971468,
Low income,2020-12-07,2.57420533515257,0.0468993630600881,
Low income,2020-12-08,2.57200760120104,0.0472293500219426,
Low income,2020-12-09,2.56460621381113,0.047624683621272,
Low income,2020-12-10,2.56057338755946,0.0479697192900969,
Low income,2020-12-11,2.55674486968034,0.0483331930143089,
Low income,2020-12-12,2.5529744284448,0.0486382343718161,
Low income,2020-12-13,2.55542997706346,0.0489416488420833,
Low income,2020-12-14,2.55482591996035,0.0492397759288204,
Low income,2020-12-15,2.55485348211082,0.0494992644436066,
Low income,2020-12-16,2.5597970885914,0.0498167786032875,
Low income,2020-12-17,2.55832184467332,0.0501528663922921,
Low income,2020-12-18,2.55588397804874,0.0505454885128881,
Low income,2020-12-19,2.5569953572171,0.0508681544821625,
Low income,2020-12-20,2.55693781931926,0.0511874311030201,
Low income,2020-12-21,2.56192707084494,0.0514528848710197,
Low income,2020-12-22,2.55957288108978,0.0518021233318813,
Low income,2020-12-23,2.55731257169762,0.0521182817521955,
Low income,2020-12-24,2.55325741730576,0.052503718454148,
Low income,2020-12-25,2.55284740672288,0.0528148606388054,
Low income,2020-12-26,2.552604610137,0.0531810458417508,
Low income,2020-12-27,2.55451665956021,0.0534172156394297,
Low income,2020-12-28,2.55883527134721,0.0536555546200954,
Low income,2020-12-29,2.55599009091709,0.053906230828998,
Low income,2020-12-30,2.55545745364685,0.0542039511939251,
Low income,2020-12-31,2.55058063714836,0.0545786775548807,
Low income,2021-01-01,2.54695163037978,0.0549279160157423,
Low income,2021-01-02,2.54894980420078,0.0552199422753292,
Low income,2021-01-03,2.55047302036517,0.0554740078326486,
Low income,2021-01-04,2.54407742274002,0.0558106379174,
Low income,2021-01-05,2.53811277708496,0.0560966989237734,
Low income,2021-01-06,2.53817100900161,0.0564639687182121,
Low income,2021-01-07,2.5266835223441,0.056892382358089,
Low income,2021-01-08,2.51847576150418,0.0573092722133489,
Low income,2021-01-09,2.51305880918665,0.0578266223556812,
Low income,2021-01-10,2.51334395907853,0.0585213032071777,
Low income,2021-01-11,2.50612918272202,0.0590035396999125,
Low income,2021-01-12,2.50578152011787,0.0594445617158997,
Low income,2021-01-13,2.5032949990618,0.0599693684247488,
Low income,2021-01-14,2.49329716748025,0.0606285289048378,
Low income,2021-01-15,2.48509232462307,0.0612269522612987,
Low income,2021-01-16,2.47827620272185,0.0618931625860945,
Low income,2021-01-17,2.46848284113965,0.06254513764754,
Low income,2021-01-18,2.45952857961902,0.0631366467332308,
Low income,2021-01-19,2.45822824212162,0.0635891925338348,
Low income,2021-01-20,2.45129924984794,0.0641948013089392,
Low income,2021-01-21,2.44355404773046,0.064897616596636,
Low income,2021-01-22,2.44283776182125,0.0655548790416116,
Low income,2021-01-23,2.43919903111242,0.0662696248357352,
Low income,2021-01-24,2.43501491859635,0.0668845882124698,
Low income,2021-01-25,2.43325148760148,0.0674178005053925,
Low income,2021-01-26,2.43486184996743,0.0678409267617393,
Low income,2021-01-27,2.42382189327355,0.0685806181602102,
Low income,2021-01-28,2.42062256885511,0.0692537427557762,
Low income,2021-01-29,2.41629124322395,0.069877247290521,
Low income,2021-01-30,2.40457802784673,0.0706235818118887,
Low income,2021-01-31,2.39901056036533,0.0712508824168603,
Low income,2021-02-01,2.39152083416005,0.0717461340075154,
Low income,2021-02-02,2.39332503842494,0.0722415211721072,
Low income,2021-02-03,2.39003973154662,0.0727832746230401,
Low income,2021-02-04,2.38617805070905,0.0733840027364243,
Low income,2021-02-05,2.37505722919147,0.074030148118593,
Low income,2021-02-06,2.37004613316866,0.0746442980517076,
Low income,2021-02-07,2.37042489054374,0.0751528358881564,
Low income,2021-02-08,2.36531469132993,0.0756533748623416,
Low income,2021-02-09,2.3661685509469,0.0760271522057405,
Low income,2021-02-10,2.36110003985652,0.0765348765985692,
Low income,2021-02-11,2.35803572685426,0.0770482950967381,
Low income,2021-02-12,2.35465365185375,0.0775850323120142,
Low income,2021-02-13,2.35185091986318,0.0781213628054803,
Low income,2021-02-14,2.34862461391762,0.0784826673467055,
Low income,2021-02-15,2.34481954084906,0.0790263188327518,0.0
Low income,2021-02-16,2.34310066167975,0.0794372434347982,0.0
Low income,2021-02-17,2.33898092348191,0.0799307325642766,0.0
Low income,2021-02-18,2.33559100951662,0.0804472692629889,0.0
Low income,2021-02-19,2.3293430920937,0.0809657039968146,0.0
Low income,2021-02-20,2.32494670645031,0.0814686833018599,0.0
Low income,2021-02-21,2.32289190114804,0.0819434632280778,0.0
Low income,2021-02-22,2.31875521362065,0.0823995339510353,0.0
Low income,2021-02-23,2.31758476033285,0.0827979857509081,0.0
Low income,2021-02-24,2.31446093970276,0.0831850493401006,0.0
Low income,2021-02-25,2.31003147906205,0.0836380018625147,0.0
Low income,2021-02-26,2.3044473401488,0.0841701295639441,0.0
Low income,2021-02-27,2.30166903437529,0.0846487055603888,0.0
Low income,2021-02-28,2.30018542945078,0.0851040984136629,0.00111170628069309
Low income,2021-03-01,2.29935735991017,0.0854826208448453,0.00111170628069309
Low income,2021-03-02,2.2989231991584,0.0858290122530368,0.00111170628069309
Low income,2021-03-03,2.29736698130412,0.0862353273412365,0.00111170628069309
Low income,2021-03-04,2.2922205886953,0.0866832636279938,0.00111170628069309
Low income,2021-03-05,2.28767568357447,0.0872110529634497,0.0112873436713883
Low income,2021-03-06,2.28337345222552,0.0876366195506565,0.0226541336696651
Low income,2021-03-07,2.28074090604776,0.0880884874815772,0.0280167607346426
Low income,2021-03-08,2.27854696467019,0.0884708059829863,0.0294028686631556
Low income,2021-03-09,2.27876244706989,0.0887837106288204,0.0309444798970289
Low income,2021-03-10,2.27700608600705,0.0891498958317658,0.0321519013770109
Low income,2021-03-11,2.27565290393822,0.0896258959234137,0.0335060138564698
Low income,2021-03-12,2.27470368219445,0.0901103015991353,0.035017256528529
Low income,2021-03-13,2.27440009574532,0.0906230422276208,0.0419454914141704
Low income,2021-03-14,2.27482603307755,0.0910232564886703,0.0424757210804863
Low income,2021-03-15,2.2745870047318,0.0914560084945206,0.0503650396031805
Low income,2021-03-16,2.27561133787451,0.0917723024887714,0.0573248632160659
Low income,2021-03-17,2.27604464481268,0.0922313558383357,0.0590389244973833
Low income,2021-03-18,2.27314918354609,0.0927484348327946,0.0605067835097082
Low income,2021-03-19,2.26928851635071,0.0932766308900605,0.0661575051901092
Low income,2021-03-20,2.2680162188944,0.0938549893038943,0.0668909601874933
Low income,2021-03-21,2.26617169613638,0.0943322095609723,0.0689145367662281
Low income,2021-03-22,2.26672217239105,0.0947698422285427,0.0699148012709785
Low income,2021-03-23,2.27156130650402,0.0951349428399947,0.0759940721651931
Low income,2021-03-24,2.27204100929826,0.0956339905008766,0.0863992362306704
Low income,2021-03-25,2.27226266155171,0.0961616442623958,0.0879163085820064
Low income,2021-03-26,2.2719943466544,0.096692145076585,0.0927251161156874
Low income,2021-03-27,2.27110436703635,0.097207597183804,0.0971846851885067
Low income,2021-03-28,2.27233311643175,0.0977158638723794,0.0994857816156048
Low income,2021-03-29,2.27285281072034,0.0981766796831203,0.100995397400424
Low income,2021-03-30,2.2765807183822,0.0986709822562188,0.105879855190767
Low income,2021-03-31,2.27711012979842,0.0991957889650679,0.111717668903772
Low income,2021-04-01,2.27891655659377,0.0997656062208914,0.113166954286773
Low income,2021-04-02,2.2786164558638,0.100349929887939,0.114585735534024
Low income,2021-04-03,2.27672564066063,0.100951335871006,0.114585735534024
Low income,2021-04-04,2.2765362008548,0.101442113521751,0.12145350444391
Low income,2021-04-05,2.28039506803536,0.101906589828782,0.128729757624983
Low income,2021-04-06,2.28065947801034,0.102394113705047,0.133945286968674
Low income,2021-04-07,2.28241359406011,0.102873774292985,0.146171209003628
Low income,2021-04-08,2.28063576276984,0.103441422365822,0.212375080480078
Low income,2021-04-09,2.28087248453298,0.104066689361744,0.217107966609224
Low income,2021-04-10,2.28003655525093,0.104586479834936,0.224929362589647
Low income,2021-04-11,2.27892293024282,0.105083765034641,0.226764355822474
Low income,2021-04-12,2.28129899848855,0.105574542685386,0.232018117016305
Low income,2021-04-13,2.28227383706809,0.106058134917488,0.237883181090581
Low income,2021-04-14,2.28095804055206,0.106541320427779,0.241938061962441
Low income,2021-04-15,2.27867639151585,0.107159673152931,0.2424673426112
Low income,2021-04-16,2.27592956959758,0.107765553075908,0.244925840378772
Low income,2021-04-17,2.27256510434596,0.108300934551818,0.269838364685484
Low income,2021-04-18,2.27762537964576,0.108828181591527,0.271831165980595
Low income,2021-04-19,2.28098829184447,0.109321535147069,0.27302177629243
Low income,2021-04-20,2.2818871503082,0.10979536605573,0.274608533647214
Low income,2021-04-21,2.28462701234744,0.110227440191897,0.277859054352811
Low income,2021-04-22,2.28923381470779,0.110674834182907,0.295600666427243
Low income,2021-04-23,2.28973740961563,0.111147851647949,0.301053043438296
Low income,2021-04-24,2.29008839534618,0.111562979042032,0.303048013916393
Low income,2021-04-25,2.29078324111208,0.111996680065439,0.307983311932987
Low income,2021-04-26,2.29363056018397,0.112365983468928,0.31327571169877
Low income,2021-04-27,2.29884227588273,0.112665601868968,0.316424551951865
Low income,2021-04-28,2.30466668906498,0.112986776524939,0.406497163996606
Low income,2021-04-29,2.30755615511752,0.113362316329515,0.411772617020305
Low income,2021-04-30,2.30837021216208,0.113686473612092,0.415458465636549
Low income,2021-05-01,2.31058110579679,0.114006021380823,0.419667494074402
Low income,2021-05-02,2.31157496066692,0.114261984973256,0.423129374547268
Low income,2021-05-03,2.31546371476539,0.114427249602057,0.430332553376476
Low income,2021-05-04,2.32190216960752,0.114658809885889,0.43627258983773
Low income,2021-05-05,2.32798550835807,0.114883320325014,0.442585454624827
