IncomeType,PopulationSize,Date,TotalCases,TotalDeaths,TotalPeopleVaccinated,DeathRatePercentage,PopulationInfectedPercentage,PopulationVaccinatedPercentage
Low income,737604900,2020-03-01,1,0,0,0,1.35573936669889e-07,0
Low income,737604900,2020-03-02,1,0,0,0,1.35573936669889e-07,0
Low income,737604900,2020-03-03,1,0,0,0,1.35573936669889e-07,0
Low income,737604900,2020-03-04,1,0,0,0,1.35573936669889e-07,0
Low income,737604900,2020-03-05,1,0,0,0,1.35573936669889e-07,0
Low income,737604900,2020-03-06,2,0,0,0,2.71147873339779e-07,0
Low income,737604900,2020-03-07,2,0,0,0,2.71147873339779e-07,0
Low income,737604900,2020-03-08,2,0,0,0,2.71147873339779e-07,0
Low income,737604900,2020-03-09,5,0,0,0,6.77869683349446e-07,0
Low income,737604900,2020-03-10,8,0,0,0,1.08459149335911e-06,0
Low income,737604900,2020-03-11,10,0,0,0,1.35573936669889e-06,0
Low income,737604900,2020-03-12,13,0,0,0,1.76246117670856e-06,0
Low income,737604900,2020-03-13,15,0,0,0,2.03360905004834e-06,0
Low income,737604900,2020-03-14,21,0,0,0,2.84705267006767e-06,0
Low income,737604900,2020-03-15,24,1,0,4.16666666666667,3.25377448007734e-06,0
Low income,737604900,2020-03-16,43,1,0,2.32558139534884,5.82967927680524e-06,0
Low income,737604900,2020-03-17,60,1,0,1.66666666666667,8.13443620019336e-06,0
Low income,737604900,2020-03-18,80,1,0,1.25,1.08459149335911e-05,0
Low income,737604900,2020-03-19,101,1,0,0.99009900990099,1.36929676036588e-05,0
Low income,737604900,2020-03-20,127,1,0,0.78740157480315,1.72178899570759e-05,0
Low income,737604900,2020-03-21,163,4,0,2.45398773006135,2.20985516771919e-05,0
Low income,737604900,2020-03-22,196,7,0,3.57142857142857,2.65724915872983e-05,0
Low income,737604900,2020-03-23,246,7,0,2.84552845528455,3.33511884207928e-05,0
Low income,737604900,2020-03-24,324,8,0,2.46913580246914,4.39259554810441e-05,0
Low income,737604900,2020-03-25,377,13,0,3.44827586206897,5.11113741245483e-05,0
Low income,737604900,2020-03-26,444,13,0,2.92792792792793,6.01948278814308e-05,0
Low income,737604900,2020-03-27,483,15,0,3.1055900621118,6.54822114115565e-05,0
Low income,737604900,2020-03-28,603,20,0,3.3167495854063,8.17510838119432e-05,0
Low income,737604900,2020-03-29,677,20,0,2.95420974889217,9.1783555125515e-05,0
Low income,737604900,2020-03-30,784,23,0,2.93367346938775,0.000106289966349193,0
Low income,737604900,2020-03-31,865,26,0,3.00578034682081,0.000117271455219454,0
Low income,737604900,2020-04-01,1009,84,0,8.32507433102081,0.000136794102099918,0
Low income,737604900,2020-04-02,1141,87,0,7.62489044697634,0.000154689861740344,0
Low income,737604900,2020-04-03,1260,91,0,7.22222222222222,0.000170823160204061,0
Low income,737604900,2020-04-04,1435,92,0,6.41114982578397,0.000194548599121291,0
Low income,737604900,2020-04-05,1563,93,0,5.95009596928983,0.000211902063015037,0
Low income,737604900,2020-04-06,1754,100,0,5.70125427594071,0.000237796684918986,0
Low income,737604900,2020-04-07,1907,101,0,5.29627687467226,0.000258539497229479,0
Low income,737604900,2020-04-08,2087,108,0,5.17489218974605,0.000282942805830059,0
Low income,737604900,2020-04-09,2288,112,0,4.8951048951049,0.000310193167100707,0
Low income,737604900,2020-04-10,2433,114,0,4.68557336621455,0.000329851387917841,0
Low income,737604900,2020-04-11,2681,116,0,4.32674375233122,0.000363473724211973,0
Low income,737604900,2020-04-12,2876,142,0,4.93741307371349,0.000389910641862601,0
Low income,737604900,2020-04-13,3046,157,0,5.1543007222587,0.000412958211096483,0
Low income,737604900,2020-04-14,3218,162,0,5.03418272218769,0.000436276928203704,0
Low income,737604900,2020-04-15,3431,381,0,11.1046342174293,0.00046515417671439,0
Low income,737604900,2020-04-16,3651,395,0,10.818953711312,0.000494980442781766,0
Low income,737604900,2020-04-17,3838,400,0,10.4220948410631,0.000520332768939035,0
Low income,737604900,2020-04-18,4075,410,0,10.0613496932515,0.000552463791929799,0
Low income,737604900,2020-04-19,4293,417,0,9.71348707197764,0.000582018910123835,0
Low income,737604900,2020-04-20,4501,421,0,9.35347700510997,0.000610218288951172,0
Low income,737604900,2020-04-21,4864,432,0,8.88157894736842,0.000659431627962341,0
Low income,737604900,2020-04-22,5085,441,0,8.67256637168142,0.000689393467966387,0
Low income,737604900,2020-04-23,5303,448,0,8.44804827456157,0.000718948586160423,0
Low income,737604900,2020-04-24,5632,463,0,8.22088068181818,0.000763552411324817,0
Low income,737604900,2020-04-25,5911,474,0,8.01894772458129,0.000801377539655715,0
Low income,737604900,2020-04-26,6375,483,0,7.57647058823529,0.000864283846270544,0
Low income,737604900,2020-04-27,6693,506,0,7.56013745704467,0.000907396358131569,0
Low income,737604900,2020-04-28,7022,525,0,7.47650242096269,0.000952000183295962,0
Low income,737604900,2020-04-29,7459,542,0,7.26638959646065,0.0010112459936207,0
Low income,737604900,2020-04-30,8063,552,0,6.8460870643681,0.00109313265136932,0
Low income,737604900,2020-05-01,8658,565,0,6.52575652575653,0.0011737991436879,0
Low income,737604900,2020-05-02,9189,583,0,6.34454238763739,0.00124578890405961,0
Low income,737604900,2020-05-03,9543,595,0,6.23493660274547,0.00129378207764075,0
Low income,737604900,2020-05-04,10085,607,0,6.01883986117997,0.00136726315131583,0
Low income,737604900,2020-05-05,10442,630,0,6.03332694886037,0.00141566304670698,0
Low income,737604900,2020-05-06,10927,649,0,5.93941612519447,0.00148141640599188,0
Low income,737604900,2020-05-07,12279,685,0,5.57863018161088,0.00166471236836957,0
Low income,737604900,2020-05-08,12935,718,0,5.55083107846927,0.00175364887082502,0
Low income,737604900,2020-05-09,13710,741,0,5.40481400437637,0.00185871867174418,0
Low income,737604900,2020-05-10,14228,764,0,5.36969356199044,0.00192894597093918,0
Low income,737604900,2020-05-11,15410,785,0,5.09409474367294,0.00208919436408299,0
Low income,737604900,2020-05-12,16339,802,0,4.90850113226024,0.00221514255124932,0
Low income,737604900,2020-05-13,17296,823,0,4.75832562442183,0.0023448868086424,0
Low income,737604900,2020-05-14,18129,851,0,4.69413646643499,0.00245781989788842,0
Low income,737604900,2020-05-15,19397,876,0,4.51616229313811,0.00262972764958584,0
Low income,737604900,2020-05-16,20180,899,0,4.45490584737364,0.00273588204199837,0
Low income,737604900,2020-05-17,21519,935,0,4.34499744411915,0.00291741554319935,0
Low income,737604900,2020-05-18,22738,975,0,4.28797607529246,0.00308268017199994,0
Low income,737604900,2020-05-19,23543,985,0,4.18383383595973,0.0031918171910192,0
Low income,737604900,2020-05-20,24556,1013,0,4.12526470109138,0.0033291535888658,0
Low income,737604900,2020-05-21,26184,1037,0,3.96043385273449,0.00354986795776438,0
Low income,737604900,2020-05-22,27315,1064,0,3.89529562511441,0.00370320208013803,0
Low income,737604900,2020-05-23,28995,1100,0,3.79375754440421,0.00393096629374344,0
Low income,737604900,2020-05-24,30583,1132,0,3.70140274008436,0.00414625770517522,0
Low income,737604900,2020-05-25,32330,1170,0,3.61892978657594,0.00438310537253752,0
Low income,737604900,2020-05-26,33561,1193,0,3.5547212538363,0.00454999688857815,0
Low income,737604900,2020-05-27,34921,1224,0,3.50505426534177,0.0047343774424492,0
Low income,737604900,2020-05-28,36469,1252,0,3.43305272971565,0.00494424589641419,0
Low income,737604900,2020-05-29,38128,1277,0,3.34924464960134,0.00516916305734954,0
Low income,737604900,2020-05-30,39676,1340,0,3.37735658836576,0.00537903151131453,0
Low income,737604900,2020-05-31,41513,1395,0,3.36039312986293,0.00562808083297711,0
Low income,737604900,2020-06-01,43172,1434,0,3.32159733160382,0.00585299799391246,0
Low income,737604900,2020-06-02,44699,1472,0,3.29313854896083,0.00606001939520738,0
Low income,737604900,2020-06-03,46407,1497,0,3.2258064516129,0.00629157967903955,0
Low income,737604900,2020-06-04,48145,1545,0,3.20905597673694,0.00652720718097182,0
Low income,737604900,2020-06-05,49918,1589,0,3.18322048158981,0.00676757977068753,0
Low income,737604900,2020-06-06,51757,1638,0,3.16478930386228,0.00701690024022346,0
Low income,737604900,2020-06-07,53240,1678,0,3.15176558978212,0.00721795638830491,0
Low income,737604900,2020-06-08,54757,1729,0,3.15758715780631,0.00742362205023313,0
Low income,737604900,2020-06-09,56332,1758,0,3.12078392387986,0.0076371510004882,0
Low income,737604900,2020-06-10,57580,1813,0,3.14866273011462,0.00780634727345222,0
Low income,737604900,2020-06-11,59451,1866,0,3.13871928142504,0.00806000610896159,0
Low income,737604900,2020-06-12,61153,1916,0,3.13312511242294,0.00829075294917374,0
Low income,737604900,2020-06-13,62666,1980,0,3.15960808093703,0.00849587631535528,0
Low income,737604900,2020-06-14,64352,2043,0,3.17472650422675,0.00872445397258072,0
Low income,737604900,2020-06-15,65999,2099,0,3.18035121744269,0.00894774424627602,0
Low income,737604900,2020-06-16,67880,2166,0,3.19092516205068,0.00920275882115208,0
Low income,737604900,2020-06-17,69108,2200,0,3.18342304798287,0.00936924361538271,0
Low income,737604900,2020-06-18,71282,2270,0,3.18453466513285,0.00966398135370305,0
Low income,737604900,2020-06-19,72582,2330,0,3.21016229919264,0.0098402274713739,0
Low income,737604900,2020-06-20,74386,2381,0,3.20087113166456,0.0100848028531264,0
Low income,737604900,2020-06-21,75972,2402,0,3.16169114937082,0.0102998231166848,0
Low income,737604900,2020-06-22,77251,2479,0,3.20901994796184,0.0104732221816856,0
Low income,737604900,2020-06-23,78344,2508,0,3.20126621055856,0.0106214044944658,0
Low income,737604900,2020-06-24,79683,2561,0,3.21398541721572,0.0108029379956668,0
Low income,737604900,2020-06-25,80889,2605,0,3.22046260925466,0.0109664401632907,0
Low income,737604900,2020-06-26,82319,2676,0,3.25076835238523,0.0111603108927286,0
Low income,737604900,2020-06-27,83443,2722,0,3.2621070670997,0.0113126959975456,0
Low income,737604900,2020-06-28,84781,2770,0,3.2672414809922,0.0114940939248099,0
Low income,737604900,2020-06-29,86135,2838,0,3.29482788645731,0.0116776610350609,0
Low income,737604900,2020-06-30,87204,2859,0,3.27851933397551,0.011822589573361,0
Low income,737604900,2020-07-01,88186,2891,0,3.27829814256231,0.0119557231791709,0
Low income,737604900,2020-07-02,89278,2958,0,3.31324626447725,0.0121037699180144,0
Low income,737604900,2020-07-03,90439,3014,0,3.33263304547817,0.0122611712584881,0
Low income,737604900,2020-07-04,91479,3058,0,3.34284371276468,0.0124021681526248,0
Low income,737604900,2020-07-05,92948,3085,0,3.31906011963679,0.0126013262655929,0
Low income,737604900,2020-07-06,93853,3139,0,3.34459207484044,0.0127240206782791,0
Low income,737604900,2020-07-07,94991,3187,0,3.35505468939163,0.0128783038182094,0
Low income,737604900,2020-07-08,96218,3236,0,3.36319607557837,0.0130446530385034,0
Low income,737604900,2020-07-09,97385,3278,0,3.36602146121066,0.0132028678225972,0
Low income,737604900,2020-07-10,98636,3320,0,3.3659110264001,0.0133724708173712,0
Low income,737604900,2020-07-11,100290,3362,0,3.35227839266128,0.0135967101086232,0
Low income,737604900,2020-07-12,101772,3392,0,3.33294029792084,0.013797630682768,0
Low income,737604900,2020-07-13,102876,3515,0,3.41673470974766,0.0139473043088515,0
Low income,737604900,2020-07-14,103843,3564,0,3.43210423427674,0.0140784043056113,0
Low income,737604900,2020-07-15,105131,3621,0,3.44427428636653,0.0142530235360421,0
Low income,737604900,2020-07-16,106626,3722,0,3.4907058315983,0.0144557065713636,0
Low income,737604900,2020-07-17,108234,3769,0,3.48226989670529,0.0146737094615288,0
Low income,737604900,2020-07-18,109808,3830,0,3.48790616348536,0.0148871028378472,0
Low income,737604900,2020-07-19,111445,3866,0,3.46897572793755,0.0151090373721758,0
Low income,737604900,2020-07-20,113447,3933,0,3.46681710402214,0.0153804563933889,0
Low income,737604900,2020-07-21,114324,3957,0,3.46121549280991,0.0154993547358484,0
Low income,737604900,2020-07-22,115991,4005,0,3.4528541007492,0.0157253564882771,0
Low income,737604900,2020-07-23,118134,4042,0,3.42153825317013,0.0160158914345607,0
Low income,737604900,2020-07-24,119580,4098,0,3.42699448068239,0.0162119313469854,0
Low income,737604900,2020-07-25,121289,4140,0,3.41333509221776,0.0164436272047542,0
Low income,737604900,2020-07-26,122928,4191,0,3.40931276844982,0.0166658328869561,0
Low income,737604900,2020-07-27,124897,4249,0,3.40200325067856,0.0169327779682592,0
Low income,737604900,2020-07-28,126450,4297,0,3.39818109924872,0.0171433242919075,0
Low income,737604900,2020-07-29,128600,4326,0,3.36391912908243,0.0174348082557478,0
Low income,737604900,2020-07-30,130268,4357,0,3.34464335063101,0.0176609455821131,0
Low income,737604900,2020-07-31,132400,4384,0,3.31117824773414,0.0179499892150933,0
Low income,737604900,2020-08-01,134305,4427,0,3.29622873310748,0.0182082575644495,0
Low income,737604900,2020-08-02,135999,4480,0,3.29414186869021,0.0184379198131683,0
Low income,737604900,2020-08-03,137603,4535,0,3.29571302951244,0.0186553804075868,0
Low income,737604900,2020-08-04,138995,4584,0,3.29796035828627,0.0188440993274313,0
Low income,737604900,2020-08-05,140625,4613,0,3.28035555555556,0.0190650848442032,0
Low income,737604900,2020-08-06,142318,4658,0,3.27295212130581,0.0192946115189853,0
Low income,737604900,2020-08-07,143891,4718,0,3.27887081193403,0.019507869321367,0
Low income,737604900,2020-08-08,145685,4746,0,3.25771356007825,0.0197510889637528,0
Low income,737604900,2020-08-09,147722,4797,0,3.24731590419843,0.0200272530727494,0
Low income,737604900,2020-08-10,149175,4877,0,3.26931456343221,0.0202242420027307,0
Low income,737604900,2020-08-11,150527,4909,0,3.26120895254672,0.0204075379651084,0
Low income,737604900,2020-08-12,152056,4983,0,3.27708212763719,0.0206148305142767,0
Low income,737604900,2020-08-13,153967,5044,0,3.27602668104204,0.0208739123072528,0
Low income,737604900,2020-08-14,156044,5090,0,3.2619004896055,0.0211554993737162,0
Low income,737604900,2020-08-15,158423,5126,0,3.23564128945923,0.0214780297690539,0
Low income,737604900,2020-08-16,161164,5167,0,3.20605097912685,0.021849637929466,0
Low income,737604900,2020-08-17,163371,5212,0,3.19028468944917,0.0221488496076965,0
Low income,737604900,2020-08-18,166165,5247,0,3.15770469112027,0.0225276431867521,0
Low income,737604900,2020-08-19,168532,5297,0,3.14302328341205,0.0228485466948498,0
Low income,737604900,2020-08-20,170737,5342,0,3.12878872183534,0.0231474872252069,0
Low income,737604900,2020-08-21,173524,5392,0,3.10735114451027,0.0235253317867059,0
Low income,737604900,2020-08-22,176785,5422,0,3.06700229091835,0.0239674383941864,0
Low income,737604900,2020-08-23,179109,5460,0,3.04842302731856,0.0242825122230072,0
Low income,737604900,2020-08-24,181832,5477,0,3.01212107879801,0.0246516800525593,0
Low income,737604900,2020-08-25,184135,5505,0,2.98965432970375,0.0249639068287101,0
Low income,737604900,2020-08-26,186629,5551,0,2.97435018137588,0.0253020282267648,0
Low income,737604900,2020-08-27,189046,5587,0,2.95536536081165,0.0256297104316959,0
Low income,737604900,2020-08-28,191180,5618,0,2.93859190291871,0.0259190252125494,0
Low income,737604900,2020-08-29,193666,5649,0,2.91687751076596,0.0262560620191108,0
Low income,737604900,2020-08-30,195879,5673,0,2.89617570030478,0.0265560871409612,0
Low income,737604900,2020-08-31,198176,5706,0,2.87925884062651,0.026867500473492,0
Low income,737604900,2020-09-01,199799,5737,0,2.87138574267138,0.0270875369727072,0
Low income,737604900,2020-09-02,201869,5775,0,2.8607661404178,0.0273681750216139,0
Low income,737604900,2020-09-03,203637,5811,0,2.85360715390622,0.0276078697416462,0
Low income,737604900,2020-09-04,205175,5835,0,2.84391373217985,0.0278163824562445,0
Low income,737604900,2020-09-05,207536,5878,0,2.83227970087117,0.0281364725207221,0
Low income,737604900,2020-09-06,209206,5904,0,2.82209879257765,0.0283628809949609,0
Low income,737604900,2020-09-07,211174,5945,0,2.81521399414701,0.0286296905023272,0
Low income,737604900,2020-09-08,212880,5975,0,2.80674558436678,0.028860979638286,0
Low income,737604900,2020-09-09,214759,6012,0,2.79941702093975,0.0291157230652887,0
Low income,737604900,2020-09-10,216579,6043,0,2.79020588330355,0.0293624676300279,0
Low income,737604900,2020-09-11,218160,6069,0,2.78190319031903,0.029576810023903,0
Low income,737604900,2020-09-12,219904,6099,0,2.77348297438882,0.0298132509694553,0
Low income,737604900,2020-09-13,221231,6125,0,2.76859933734422,0.0299931575834163,0
Low income,737604900,2020-09-14,222413,6153,0,2.76647498122862,0.0301534059765601,0
Low income,737604900,2020-09-15,223654,6191,0,2.76811503483059,0.0303216532319674,0
Low income,737604900,2020-09-16,225167,6215,0,2.76017356006875,0.030526776598149,0
Low income,737604900,2020-09-17,226695,6244,0,2.75436158715455,0.0307339335733805,0
Low income,737604900,2020-09-18,228100,6267,0,2.74747917580009,0.0309244149544017,0
Low income,737604900,2020-09-19,229719,6291,0,2.73856320112833,0.0311439091578703,0
Low income,737604900,2020-09-20,231233,6319,0,2.73274143396487,0.0313491680979885,0
Low income,737604900,2020-09-21,232826,6342,0,2.72392258596548,0.0315651373791036,0
Low income,737604900,2020-09-22,234338,6369,0,2.71786906092909,0.0317701251713485,0
Low income,737604900,2020-09-23,235936,6396,0,2.71090465210905,0.031986772322147,0
Low income,737604900,2020-09-24,237312,6422,0,2.70614212513484,0.0321733220590048,0
Low income,737604900,2020-09-25,238502,6442,0,2.70102556791977,0.0323346550436419,0
Low income,737604900,2020-09-26,239552,6459,0,2.6962830617152,0.0324770076771453,0
Low income,737604900,2020-09-27,240912,6480,0,2.68977884040646,0.0326613882310164,0
Low income,737604900,2020-09-28,242300,6496,0,2.68097399917458,0.0328495648551142,0
Low income,737604900,2020-09-29,243720,6513,0,2.67232890201871,0.0330420798451854,0
Low income,737604900,2020-09-30,245041,6534,0,2.66649254614534,0.0332211730155263,0
Low income,737604900,2020-10-01,246459,6663,0,2.70349226443344,0.0334134168577242,0
Low income,737604900,2020-10-02,247927,6683,0,2.69555151314702,0.0336124393967556,0
Low income,737604900,2020-10-03,249372,6697,0,2.68554609178256,0.0338083437352436,0
Low income,737604900,2020-10-04,250798,6711,0,2.67585865915996,0.0340016721689349,0
Low income,737604900,2020-10-05,252531,6728,0,2.66422736218524,0.0342366218011838,0
Low income,737604900,2020-10-06,253553,6747,0,2.66098212208098,0.0343751783644604,0
Low income,737604900,2020-10-07,254920,6766,0,2.65416601286678,0.0345605079358882,0
Low income,737604900,2020-10-08,256411,6798,0,2.6512123114843,0.034762648675463,0
Low income,737604900,2020-10-09,257930,6815,0,2.64218974140271,0.0349685854852645,0
Low income,737604900,2020-10-10,259415,6839,0,2.63631632712064,0.0351699127812193,0
Low income,737604900,2020-10-11,260856,6862,0,2.63057012297973,0.0353652748239606,0
Low income,737604900,2020-10-12,262287,6883,0,2.62422460892076,0.0355592811273352,0
Low income,737604900,2020-10-13,263663,6915,0,2.62266605477447,0.035745830864193,0
Low income,737604900,2020-10-14,264903,6932,0,2.61680690667905,0.0359139425456637,0
Low income,737604900,2020-10-15,266215,6964,0,2.61593073267847,0.0360918155505746,0
Low income,737604900,2020-10-16,267601,6987,0,2.61097679007179,0.036279721026799,0
Low income,737604900,2020-10-17,268868,7013,0,2.60834312748263,0.0364514932045598,0
Low income,737604900,2020-10-18,270168,7032,0,2.60282490894554,0.0366277393222306,0
Low income,737604900,2020-10-19,271444,7049,0,2.59685238944313,0.0368007316654214,0
Low income,737604900,2020-10-20,272786,7071,0,2.59214182546025,0.0369826718884324,0
Low income,737604900,2020-10-21,274031,7088,0,2.58656867288737,0.0371514614395864,0
Low income,737604900,2020-10-22,275292,7116,0,2.58489167865394,0.0373224201737272,0
Low income,737604900,2020-10-23,276567,7143,0,2.58273763681133,0.0374952769429813,0
Low income,737604900,2020-10-24,277932,7168,0,2.57904811248795,0.0376803353665357,0
Low income,737604900,2020-10-25,279081,7200,0,2.57989615917959,0.0378361098197694,0
Low income,737604900,2020-10-26,280038,7220,0,2.57822152707847,0.0379658540771624,0
Low income,737604900,2020-10-27,280944,7242,0,2.57773791218179,0.0380886840637854,0
Low income,737604900,2020-10-28,282199,7267,0,2.57513315071988,0.0382588293543061,0
Low income,737604900,2020-10-29,283756,7290,0,2.56910867082987,0.0384699179737011,0
Low income,737604900,2020-10-30,285188,7305,0,2.56146822446947,0.0386640598510124,0
Low income,737604900,2020-10-31,286525,7323,0,2.55579792339237,0.03884532220434,0
Low income,737604900,2020-11-01,287531,7339,0,2.55242043466617,0.0389817095846299,0
Low income,737604900,2020-11-02,288736,7356,0,2.54765599024715,0.0391450761783171,0
Low income,737604900,2020-11-03,289783,7390,0,2.55018410327728,0.0392870220900105,0
Low income,737604900,2020-11-04,291345,7412,0,2.54406288077709,0.0394987885790889,0
Low income,737604900,2020-11-05,292517,7713,0,2.63676982876209,0.039657681232866,0
Low income,737604900,2020-11-06,293926,7735,0,2.63161476017773,0.0398487049096339,0
Low income,737604900,2020-11-07,294989,7749,0,2.62687761238555,0.039992820004314,0
Low income,737604900,2020-11-08,296372,7772,0,2.62237998191462,0.0401803187587284,0
Low income,737604900,2020-11-09,297653,7790,0,2.61714143650492,0.0403539889716026,0
Low income,737604900,2020-11-10,298675,7818,0,2.61756089394827,0.0404925455348792,0
Low income,737604900,2020-11-11,299888,7838,0,2.6136424265059,0.0406569967200598,0
Low income,737604900,2020-11-12,301105,7868,0,2.61304196210624,0.040821990200987,0
Low income,737604900,2020-11-13,302491,7897,0,2.61065618481211,0.0410098956772115,0
Low income,737604900,2020-11-14,304130,7921,0,2.60447834807484,0.0412321013594134,0
Low income,737604900,2020-11-15,305620,7950,0,2.60126955042209,0.0414341065250516,0
Low income,737604900,2020-11-16,307154,8040,0,2.61757945525697,0.0416420769439032,0
Low income,737604900,2020-11-17,308496,8076,0,2.61786214407966,0.0418240171669142,0
Low income,737604900,2020-11-18,309999,8114,0,2.61742779815419,0.042027784793729,0
Low income,737604900,2020-11-19,311798,8151,0,2.6141925220816,0.0422716823057981,0
Low income,737604900,2020-11-20,313808,8185,0,2.60828277163106,0.0425441859185046,0
Low income,737604900,2020-11-21,315542,8227,0,2.60725988933327,0.0427792711246902,0
Low income,737604900,2020-11-22,316962,8270,0,2.60914557581035,0.0429717861147614,0
Low income,737604900,2020-11-23,318442,8312,0,2.61020845240264,0.0431724355410329,0
Low income,737604900,2020-11-24,320038,8349,0,2.60875271061561,0.043388811543958,0
Low income,737604900,2020-11-25,321958,8392,0,2.6065511650588,0.0436491135023642,0
Low income,737604900,2020-11-26,323635,8425,0,2.60324130579202,0.0438764709941596,0
Low income,737604900,2020-11-27,325775,8471,0,2.60026091627657,0.0441665992186332,0
Low income,737604900,2020-11-28,327711,8504,0,2.59496934799259,0.0444290703600261,0
Low income,737604900,2020-11-29,329193,8542,0,2.59483038825248,0.0446299909341709,0
Low income,737604900,2020-11-30,331043,8579,0,2.59150623937072,0.0448808027170101,0
Low income,737604900,2020-12-01,333057,8624,0,2.58934656830512,0.0451538486254633,0
Low income,737604900,2020-12-02,335080,8670,0,2.5874418049421,0.0454281146993465,0
Low income,737604900,2020-12-03,337100,8734,0,2.59092257490359,0.0457019740514197,0
Low income,737604900,2020-12-04,339212,8785,0,2.58982583163331,0.0459883062056665,0
Low income,737604900,2020-12-05,341238,8828,0,2.58705068017044,0.0462629790013597,0
Low income,737604900,2020-12-06,343452,8872,0,2.58318484096759,0.0465631396971468,0
Low income,737604900,2020-12-07,345932,8905,0,2.57420533515257,0.0468993630600881,0
Low income,737604900,2020-12-08,348366,8960,0,2.57200760120104,0.0472293500219426,0
Low income,737604900,2020-12-09,351282,9009,0,2.56460621381113,0.047624683621272,0
Low income,737604900,2020-12-10,353827,9060,0,2.56057338755946,0.0479697192900969,0
Low income,737604900,2020-12-11,356508,9115,0,2.55674486968034,0.0483331930143089,0
Low income,737604900,2020-12-12,358758,9159,0,2.5529744284448,0.0486382343718161,0
Low income,737604900,2020-12-13,360996,9225,0,2.55542997706346,0.0489416488420833,0
Low income,737604900,2020-12-14,363195,9279,0,2.55482591996035,0.0492397759288204,0
Low income,737604900,2020-12-15,365109,9328,0,2.55485348211082,0.0494992644436066,0
Low income,737604900,2020-12-16,367451,9406,0,2.5597970885914,0.0498167786032875,0
Low income,737604900,2020-12-17,369930,9464,0,2.55832184467332,0.0501528663922921,0
Low income,737604900,2020-12-18,372826,9529,0,2.55588397804874,0.0505454885128881,0
Low income,737604900,2020-12-19,375206,9594,0,2.5569953572171,0.0508681544821625,0
Low income,737604900,2020-12-20,377561,9654,0,2.55693781931926,0.0511874311030201,0
